2020-09-16 11:07:33.150 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:33.152 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:33.276 INFO  Starter:39 - Lade Spiellayout...
2020-09-16 11:07:33.279 INFO  Starter:42 - Initialisierunge Gamecontroller...
2020-09-16 11:07:33.424 INFO  Starter:51 - Spiel erfolgreich gestartet.
2020-09-16 11:07:33.424 INFO  Starter:52 - #####################################
2020-09-16 11:07:41.522 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:41.522 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:07:41.523 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:41.523 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:45.12 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:07:45.38 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:45.38 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:07:45.39 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:45.39 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:49.674 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:07:49.698 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:49.699 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:07:49.699 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:49.700 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:52.197 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:07:52.218 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:52.218 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:07:52.219 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:52.219 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:53.544 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:07:53.563 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:53.563 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:07:53.564 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:07:53.564 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:07:55.402 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:07:55.420 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:07:55.421 INFO  FieldGrid:45 - Erstelle vertikale Linien
